"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 22 11:38:30 UTC 2026","Fri May 22 11:38:30 UTC 2026","6","tests.api","test_users","TestGetUsers","","","test_get_all_users","Test GET /users/ returns list of users."
"passed","Fri May 22 11:38:30 UTC 2026","Fri May 22 11:38:30 UTC 2026","4","tests.api","test_orders","TestCreateOrder","","","test_create_order_missing_fields","Test POST /orders/ with missing fields returns 422."
"passed","Fri May 22 11:38:29 UTC 2026","Fri May 22 11:38:29 UTC 2026","5","tests.api","test_auth","TestAuthRegister","","","test_register_duplicate_email","Test registration with existing email returns 400."
"passed","Fri May 22 11:38:30 UTC 2026","Fri May 22 11:38:31 UTC 2026","300","tests.db","test_db_consistency","TestUserDBConsistency","","","test_registered_user_exists_in_db","Test that a user registered via API exists in the database."
"passed","Fri May 22 11:38:30 UTC 2026","Fri May 22 11:38:30 UTC 2026","4","tests.api","test_orders","TestCreateOrder","","","test_create_order_nonexistent_product","Test POST /orders/ with invalid product_id returns 404."
"passed","Fri May 22 11:38:30 UTC 2026","Fri May 22 11:38:30 UTC 2026","4","tests.api","test_products","TestGetProducts","","","test_get_all_products","Test GET /products/ returns list."
"passed","Fri May 22 11:38:30 UTC 2026","Fri May 22 11:38:30 UTC 2026","4","tests.api","test_products","TestGetProducts","","","test_get_nonexistent_product","Test GET /products/{id} with invalid id returns 404."
"passed","Fri May 22 11:38:30 UTC 2026","Fri May 22 11:38:30 UTC 2026","3","tests.api","test_auth","TestAuthProtection","","","test_access_with_invalid_token","Test accessing protected endpoint with invalid token returns 401."
"passed","Fri May 22 11:38:31 UTC 2026","Fri May 22 11:38:31 UTC 2026","623","tests.e2e","test_order_flow","TestOrderFlow","","","test_full_order_lifecycle","Test complete order flow from registration to order verification."
"passed","Fri May 22 11:38:31 UTC 2026","Fri May 22 11:38:31 UTC 2026","12","tests.db","test_db_consistency","TestProductDBConsistency","","","test_created_product_exists_in_db","Test that a product created via API exists in the database."
"passed","Fri May 22 11:38:29 UTC 2026","Fri May 22 11:38:29 UTC 2026","3","tests.api","test_auth","TestAuthRegister","","","test_register_missing_fields","Test registration with missing fields returns 422."
"passed","Fri May 22 11:38:30 UTC 2026","Fri May 22 11:38:30 UTC 2026","2","tests.api","test_orders","TestGetOrders","","","test_get_orders_without_auth","Test GET /orders/ without auth returns 401."
"passed","Fri May 22 11:38:30 UTC 2026","Fri May 22 11:38:30 UTC 2026","3","tests.api","test_products","TestCreateProduct","","","test_create_product_without_auth","Test POST /products/ without auth returns 401."
"passed","Fri May 22 11:38:30 UTC 2026","Fri May 22 11:38:30 UTC 2026","12","tests.api","test_products","TestCreateProduct","","","test_create_product_parametrized[zero_stock]","Test creating products with various valid data combinations."
"passed","Fri May 22 11:38:30 UTC 2026","Fri May 22 11:38:30 UTC 2026","7","tests.api","test_products","TestUpdateProduct","","","test_update_product","Test PUT /products/{id} updates product."
"passed","Fri May 22 11:38:28 UTC 2026","Fri May 22 11:38:29 UTC 2026","340","tests.api","test_auth","TestAuthRegister","","","test_register_new_user","Test successful user registration."
"passed","Fri May 22 11:38:30 UTC 2026","Fri May 22 11:38:30 UTC 2026","6","tests.api","test_users","TestGetUsers","","","test_get_nonexistent_user","Test GET /users/{id} with invalid id returns 404."
"passed","Fri May 22 11:38:30 UTC 2026","Fri May 22 11:38:30 UTC 2026","5","tests.api","test_products","TestCreateProduct","","","test_create_product_missing_required_fields","Test POST /products/ with missing fields returns 422."
"passed","Fri May 22 11:38:30 UTC 2026","Fri May 22 11:38:30 UTC 2026","12","tests.api","test_products","TestCreateProduct","","","test_create_product_parametrized[high_price]","Test creating products with various valid data combinations."
"passed","Fri May 22 11:38:30 UTC 2026","Fri May 22 11:38:30 UTC 2026","10","tests.api","test_users","TestGetUsers","","","test_get_user_by_id","Test GET /users/{id} returns correct user."
"passed","Fri May 22 11:38:30 UTC 2026","Fri May 22 11:38:30 UTC 2026","13","tests.api","test_orders","TestUpdateOrder","","","test_update_order_status","Test PUT /orders/{id} updates order status."
"passed","Fri May 22 11:38:30 UTC 2026","Fri May 22 11:38:30 UTC 2026","2","tests.api","test_auth","TestAuthProtection","","","test_access_with_expired_token","Test accessing protected endpoint with expired token returns 401."
